Time(s),CH1V,CH2V
-2.000000e-06,9.866667e-03,7.999999e-02
-1.980000e-06,1.786667e-02,1.140000e-01
-1.960000e-06,-1.466667e-03,9.133332e-02
-1.940000e-06,8.000000e-04,7.466666e-02
-1.920000e-06,-1.040000e-02,9.133332e-02
-1.900000e-06,-3.733333e-03,1.580000e-01
-1.880000e-06,-1.466667e-03,1.693333e-01
-1.860000e-06,6.533334e-03,1.413333e-01
-1.840000e-06,8.000000e-04,1.360000e-01
-1.820000e-06,8.000000e-04,3.000000e-02
-1.800000e-06,-1.040000e-02,1.360000e-01
-1.780000e-06,-1.160000e-02,1.333333e-02
-1.760000e-06,8.000000e-04,6.933333e-02
-1.740000e-06,-1.466667e-03,1.640000e-01
-1.720000e-06,7.600000e-03,1.806667e-01
-1.700000e-06,1.213333e-02,1.693333e-01
-1.680000e-06,9.866667e-03,1.360000e-01
-1.660000e-06,5.333333e-03,3.533333e-02
-1.640000e-06,-8.133333e-03,4.666666e-02
-1.620000e-06,-1.266667e-02,5.199999e-02
-1.600000e-06,5.333333e-03,9.133332e-02
-1.580000e-06,-5.866667e-03,1.306667e-01
-1.560000e-06,7.600000e-03,1.140000e-01
-1.540000e-06,8.800000e-03,1.526667e-01
-1.520000e-06,1.213333e-02,1.026667e-01
-1.500000e-06,-4.800000e-03,1.193333e-01
-1.480000e-06,-1.720000e-02,7.999999e-02
-1.460000e-06,-5.866667e-03,7.466666e-02
-1.440000e-06,-1.266667e-02,1.246667e-01
-1.420000e-06,-4.800000e-03,6.333333e-02
-1.400000e-06,1.893333e-02,1.360000e-01
-1.380000e-06,-2.666667e-04,1.473333e-01
-1.360000e-06,-8.133333e-03,1.246667e-01
-1.340000e-06,4.266667e-03,7.466666e-02
-1.320000e-06,-2.626667e-02,7.999999e-02
-1.300000e-06,-3.733333e-03,9.133332e-02
-1.280000e-06,8.000000e-04,1.360000e-01
-1.260000e-06,-3.733333e-03,8.599999e-02
-1.240000e-06,-1.040000e-02,1.473333e-01
-1.220000e-06,3.066667e-03,1.026667e-01
-1.200000e-06,-5.866667e-03,1.333333e-02
-1.180000e-06,1.213333e-02,1.640000e-01
-1.160000e-06,-1.720000e-02,-4.266666e-02
-1.140000e-06,-1.266667e-02,4.666666e-02
-1.120000e-06,-5.866667e-03,1.140000e-01
-1.100000e-06,-9.333333e-03,1.693333e-01
-1.080000e-06,-1.466667e-03,1.360000e-01
-1.060000e-06,4.266667e-03,1.140000e-01
-1.040000e-06,3.066667e-03,1.360000e-01
-1.020000e-06,8.000000e-04,1.360000e-01
-1.000000e-06,-1.466667e-03,1.473333e-01
-9.800000e-07,2.800000e-02,1.473333e-01
-9.600000e-07,-2.400000e-02,6.933333e-02
-9.400000e-07,3.066667e-03,9.133332e-02
-9.200000e-07,1.440000e-02,2.026666e-01
-9.000000e-07,-1.266667e-02,6.933333e-02
-8.800000e-07,3.066667e-03,1.473333e-01
-8.600000e-07,-3.733333e-03,1.306667e-01
-8.400000e-07,-5.866667e-03,5.799999e-02
-8.200000e-07,-1.160000e-02,5.799999e-02
-8.000000e-07,-3.733333e-03,2.026666e-01
-7.800000e-07,6.533334e-03,1.413333e-01
-7.600000e-07,-1.720000e-02,1.473333e-01
-7.400000e-07,1.893333e-02,1.413333e-01
-7.200000e-07,1.213333e-02,9.133332e-02
-7.000000e-07,8.000000e-04,9.666666e-02
-6.800000e-07,-1.040000e-02,6.933333e-02
