Time(s),CH1V
3.260000e-05,3.265067e+00
3.270000e-05,3.287600e+00
3.280000e-05,3.298933e+00
3.290000e-05,3.287600e+00
3.300000e-05,3.278533e+00
3.310000e-05,3.289867e+00
3.320000e-05,3.298933e+00
3.330000e-05,3.278533e+00
3.340000e-05,3.256000e+00
3.350000e-05,3.289867e+00
3.360000e-05,3.289867e+00
3.370000e-05,3.298933e+00
3.380000e-05,3.278533e+00
3.390000e-05,3.298933e+00
3.400000e-05,3.298933e+00
3.410000e-05,3.287600e+00
3.420000e-05,3.262800e+00
3.430000e-05,3.283067e+00
3.440000e-05,3.285333e+00
3.450000e-05,3.292133e+00
3.460000e-05,3.271867e+00
3.470000e-05,3.271867e+00
3.480000e-05,3.289867e+00
3.490000e-05,3.287600e+00
3.500000e-05,3.260533e+00
3.510000e-05,3.289867e+00
3.520000e-05,3.296667e+00
3.530000e-05,3.292133e+00
3.540000e-05,3.265067e+00
3.550000e-05,3.280800e+00
3.560000e-05,3.289867e+00
3.570000e-05,3.269600e+00
3.580000e-05,3.265067e+00
3.590000e-05,3.285333e+00
3.600000e-05,3.278533e+00
3.610000e-05,3.283067e+00
3.620000e-05,3.271867e+00
3.630000e-05,3.276400e+00
3.640000e-05,3.294400e+00
3.650000e-05,3.287600e+00
3.660000e-05,3.267333e+00
3.670000e-05,3.283067e+00
3.680000e-05,3.294400e+00
3.690000e-05,3.294400e+00
3.700000e-05,3.271867e+00
3.710000e-05,3.287600e+00
3.720000e-05,3.280800e+00
3.730000e-05,3.280800e+00
3.740000e-05,3.271867e+00
3.750000e-05,3.289867e+00
3.760000e-05,3.283067e+00
3.770000e-05,3.289867e+00
3.780000e-05,3.271867e+00
3.790000e-05,3.280800e+00
3.800000e-05,3.294400e+00
3.810000e-05,3.271867e+00
3.820000e-05,3.267333e+00
3.830000e-05,3.287600e+00
3.840000e-05,3.289867e+00
3.850000e-05,3.303467e+00
3.860000e-05,3.271867e+00
3.870000e-05,3.285333e+00
3.880000e-05,3.298933e+00
3.890000e-05,3.283067e+00
3.900000e-05,3.269600e+00
3.910000e-05,3.283067e+00
3.920000e-05,3.289867e+00
3.930000e-05,3.287600e+00
3.940000e-05,3.267333e+00
3.950000e-05,3.283067e+00
3.960000e-05,3.287600e+00
3.970000e-05,3.283067e+00
3.980000e-05,3.262800e+00
3.990000e-05,3.278533e+00
4.000000e-05,3.289867e+00
4.010000e-05,3.289867e+00
4.020000e-05,3.278533e+00
4.030000e-05,3.285333e+00
4.040000e-05,3.298933e+00
4.050000e-05,3.278533e+00
4.060000e-05,3.260533e+00
4.070000e-05,3.283067e+00
4.080000e-05,3.283067e+00
4.090000e-05,3.294400e+00
4.100000e-05,3.278533e+00
4.110000e-05,3.274133e+00
4.120000e-05,3.285333e+00
4.130000e-05,3.280800e+00
4.140000e-05,3.267333e+00
4.150000e-05,3.280800e+00
4.160000e-05,3.289867e+00
4.170000e-05,3.289867e+00
4.180000e-05,3.269600e+00
4.190000e-05,3.276400e+00
4.200000e-05,3.287600e+00
4.210000e-05,3.278533e+00
4.220000e-05,2.916933e+00
4.230000e-05,-3.746667e-02
4.240000e-05,3.493333e-02
4.250000e-05,3.720000e-02
4.260000e-05,-3.066667e-02
4.270000e-05,1.226667e-02
4.280000e-05,2.586667e-02
4.290000e-05,-1.026667e-02
4.300000e-05,1.226667e-02
4.310000e-05,3.200000e-03
4.320000e-05,-8.000000e-03
4.330000e-05,1.000000e-02
4.340000e-05,2.133333e-02
4.350000e-05,-3.466667e-03
4.360000e-05,1.226667e-02
4.370000e-05,-1.200000e-03
4.380000e-05,1.226667e-02
4.390000e-05,-5.733334e-03
4.400000e-05,9.333334e-04
4.410000e-05,-5.733334e-03
4.420000e-05,-8.000000e-03
4.430000e-05,-8.000000e-03
4.440000e-05,5.466667e-03
4.450000e-05,-2.613333e-02
4.460000e-05,-1.253333e-02
4.470000e-05,-2.160000e-02
4.480000e-05,5.466667e-03
4.490000e-05,9.333334e-04
4.500000e-05,-1.933333e-02
4.510000e-05,-1.706667e-02
4.520000e-05,1.000000e-02
4.530000e-05,-1.253333e-02
4.540000e-05,-1.480000e-02
4.550000e-05,-5.733334e-03
4.560000e-05,-1.480000e-02
4.570000e-05,-3.466667e-03
4.580000e-05,-1.933333e-02
4.590000e-05,-1.253333e-02
4.600000e-05,-1.200000e-03
4.610000e-05,-3.293333e-02
4.620000e-05,-1.026667e-02
4.630000e-05,-1.706667e-02
4.640000e-05,-1.480000e-02
4.650000e-05,-2.160000e-02
4.660000e-05,3.200000e-03
4.670000e-05,-1.200000e-03
4.680000e-05,1.000000e-02
4.690000e-05,-3.466667e-03
4.700000e-05,-1.933333e-02
4.710000e-05,-5.733334e-03
4.720000e-05,-1.026667e-02
4.730000e-05,-8.000000e-03
4.740000e-05,-2.160000e-02
4.750000e-05,-2.160000e-02
4.760000e-05,9.333334e-04
4.770000e-05,-2.386667e-02
4.780000e-05,-1.933333e-02
4.790000e-05,-1.253333e-02
4.800000e-05,3.016000e-01
4.810000e-05,3.231067e+00
4.820000e-05,3.210800e+00
4.830000e-05,3.346400e+00
4.840000e-05,3.251467e+00
4.850000e-05,3.222133e+00
4.860000e-05,3.231067e+00
4.870000e-05,3.249200e+00
4.880000e-05,3.246933e+00
4.890000e-05,3.269600e+00
4.900000e-05,3.246933e+00
4.910000e-05,3.258267e+00
4.920000e-05,3.258267e+00
4.930000e-05,3.253733e+00
4.940000e-05,3.246933e+00
4.950000e-05,3.265067e+00
4.960000e-05,3.260533e+00
4.970000e-05,3.262800e+00
4.980000e-05,3.260533e+00
4.990000e-05,3.269600e+00
