Time(s),CH1V
-7.500000e-06,0.000000e+00
-7.425000e-06,-8.000000e-03
-7.350000e-06,-1.813333e-02
-7.275000e-06,5.600000e-03
-7.200000e-06,-1.586667e-02
-7.125000e-06,-8.533333e-03
-7.050000e-06,-1.480000e-02
-6.975000e-06,3.333333e-03
-6.900000e-06,-2.720000e-02
-6.825000e-06,-1.133333e-02
-6.750000e-06,-6.800000e-03
-6.675000e-06,-1.026667e-02
-6.600000e-06,-9.066666e-03
-6.525000e-06,-1.693333e-02
-6.450000e-06,6.800000e-03
-6.375000e-06,-1.026667e-02
-6.300000e-06,-1.133333e-02
-6.225000e-06,-8.533333e-03
-6.150000e-06,-3.466667e-03
-6.075000e-06,3.866667e-03
-6.000000e-06,-4.533333e-03
-5.925000e-06,6.800000e-03
-5.850000e-06,-1.026667e-02
-5.775000e-06,-1.586667e-02
-5.700000e-06,4.533333e-03
-5.625000e-06,-1.200000e-03
-5.550000e-06,0.000000e+00
-5.475000e-06,-1.253333e-02
-5.400000e-06,0.000000e+00
-5.325000e-06,-1.080000e-02
-5.250000e-06,-5.733334e-03
-5.175000e-06,-1.733333e-03
-5.100000e-06,-1.133333e-02
-5.025000e-06,-1.253333e-02
-4.950000e-06,0.000000e+00
-4.875000e-06,3.333333e-03
-4.800000e-06,-1.133333e-02
-4.725000e-06,-2.933333e-03
-4.650000e-06,-1.026667e-02
-4.575000e-06,-9.066666e-03
-4.500000e-06,-2.266667e-02
-4.425000e-06,-1.080000e-02
-4.350000e-06,-2.266667e-03
-4.275000e-06,-1.480000e-02
-4.200000e-06,-4.533333e-03
-4.125000e-06,-8.000000e-03
-4.050000e-06,7.866667e-03
-3.975000e-06,-1.026667e-02
-3.900000e-06,-6.800000e-03
-3.825000e-06,-1.733333e-03
-3.750000e-06,1.066667e-03
-3.675000e-06,-4.000000e-03
-3.600000e-06,-4.533333e-03
-3.525000e-06,-3.466667e-03
-3.450000e-06,-1.026667e-02
-3.375000e-06,-6.266667e-03
-3.300000e-06,-1.360000e-02
-3.225000e-06,-1.306667e-02
-3.150000e-06,-1.480000e-02
-3.075000e-06,-1.186667e-02
-3.000000e-06,2.266667e-03
-2.925000e-06,-1.760000e-02
-2.850000e-06,-1.360000e-02
-2.775000e-06,-1.200000e-03
-2.700000e-06,-1.133333e-02
-2.625000e-06,-1.586667e-02
-2.550000e-06,-9.066666e-03
-2.475000e-06,2.266667e-03
-2.400000e-06,-1.813333e-02
-2.325000e-06,-6.266667e-03
-2.250000e-06,0.000000e+00
-2.175000e-06,-1.480000e-02
-2.100000e-06,-1.360000e-02
-2.025000e-06,-1.413333e-02
-1.950000e-06,3.333333e-03
-1.875000e-06,-9.066666e-03
-1.800000e-06,-2.266667e-03
-1.725000e-06,-1.586667e-02
-1.650000e-06,0.000000e+00
-1.575000e-06,-2.266667e-02
-1.500000e-06,-1.360000e-02
-1.425000e-06,1.600000e-03
-1.350000e-06,-1.133333e-02
-1.275000e-06,5.333333e-04
-1.200000e-06,-1.360000e-02
-1.125000e-06,-5.066667e-03
-1.050000e-06,-1.360000e-02
-9.750000e-07,-3.466667e-03
-9.000000e-07,-2.266667e-03
-8.250000e-07,-5.066667e-03
-7.500000e-07,-1.360000e-02
-6.750000e-07,-4.000000e-03
-6.000000e-07,6.800000e-03
-5.250000e-07,-9.600000e-03
-4.500000e-07,-1.133333e-02
-3.750000e-07,-3.466667e-03
-3.000000e-07,-1.133333e-02
-2.250000e-07,-1.026667e-02
-1.500000e-07,1.693333e-02
-7.500000e-08,1.202667e-01
9.396772e-21,2.621333e-01
7.500000e-08,4.356000e-01
1.500000e-07,5.933334e-01
2.250000e-07,7.470667e-01
3.000000e-07,8.748000e-01
3.750000e-07,1.004133e+00
4.500000e-07,1.101867e+00
5.250000e-07,1.169200e+00
6.000000e-07,1.238667e+00
6.750000e-07,1.250000e+00
7.500000e-07,1.260133e+00
8.250000e-07,1.217733e+00
9.000000e-07,1.193467e+00
9.750000e-07,1.156667e+00
1.050000e-06,1.080400e+00
1.125000e-06,1.005333e+00
1.200000e-06,9.064000e-01
1.275000e-06,8.476000e-01
1.350000e-06,7.289333e-01
1.425000e-06,6.408000e-01
1.500000e-06,5.424000e-01
1.575000e-06,4.650667e-01
1.650000e-06,3.593333e-01
1.725000e-06,2.825333e-01
1.800000e-06,2.124000e-01
1.875000e-06,1.158667e-01
1.950000e-06,6.320000e-02
2.025000e-06,-1.026667e-02
2.100000e-06,-5.880000e-02
2.175000e-06,-1.504000e-01
2.250000e-06,-2.656000e-01
2.325000e-06,-4.814667e-01
2.400000e-06,-8.341333e-01
2.475000e-06,-1.237067e+00
2.550000e-06,-1.721333e+00
2.625000e-06,-2.211867e+00
2.700000e-06,-2.705733e+00
2.775000e-06,-3.084400e+00
2.850000e-06,-3.365867e+00
2.925000e-06,-3.529067e+00
3.000000e-06,-3.528533e+00
3.075000e-06,-3.391733e+00
3.150000e-06,-3.127333e+00
3.225000e-06,-2.786533e+00
3.300000e-06,-2.366667e+00
3.375000e-06,-1.914000e+00
3.450000e-06,-1.506667e+00
3.525000e-06,-1.130267e+00
3.600000e-06,-8.341333e-01
3.675000e-06,-6.306667e-01
3.750000e-06,-5.380000e-01
3.825000e-06,-5.102667e-01
3.900000e-06,-5.584000e-01
3.975000e-06,-6.702667e-01
4.050000e-06,-7.856000e-01
