Time(s),CH1V
-2.000000e-08,1.412000e-01
-1.324349e-19,1.728000e-01
2.000000e-08,2.496000e-01
4.000000e-08,3.197334e-01
6.000000e-08,3.604000e-01
8.000000e-08,4.033333e-01
1.000000e-07,4.621333e-01
1.200000e-07,5.209333e-01
1.400000e-07,5.502667e-01
1.600000e-07,6.090667e-01
1.800000e-07,6.724000e-01
2.000000e-07,7.265334e-01
2.200000e-07,7.717333e-01
2.400000e-07,8.170667e-01
2.600000e-07,8.757333e-01
2.800000e-07,9.345334e-01
3.000000e-07,9.572000e-01
3.200000e-07,1.009200e+00
3.400000e-07,1.052133e+00
3.600000e-07,1.101867e+00
3.800000e-07,1.138000e+00
4.000000e-07,1.169600e+00
4.200000e-07,1.201333e+00
4.400000e-07,1.232933e+00
4.600000e-07,1.242000e+00
4.800000e-07,1.294000e+00
5.000000e-07,1.327867e+00
5.200000e-07,1.354933e+00
5.400000e-07,1.357200e+00
5.600000e-07,1.384400e+00
5.800000e-07,1.402400e+00
6.000000e-07,1.434133e+00
6.200000e-07,1.425067e+00
6.400000e-07,1.436400e+00
6.600000e-07,1.440933e+00
6.800000e-07,1.461200e+00
7.000000e-07,1.449867e+00
7.200000e-07,1.429600e+00
7.400000e-07,1.420533e+00
7.600000e-07,1.406933e+00
7.800000e-07,1.364000e+00
8.000000e-07,1.307467e+00
8.200000e-07,1.278133e+00
8.400000e-07,1.217067e+00
8.600000e-07,1.147067e+00
8.800000e-07,1.061067e+00
9.000000e-07,9.774667e-01
9.200000e-07,9.029334e-01
9.400000e-07,8.012000e-01
9.600000e-07,6.994666e-01
9.800000e-07,6.045333e-01
1.000000e-06,4.982667e-01
1.020000e-06,3.740000e-01
1.040000e-06,2.405333e-01
1.060000e-06,1.117333e-01
1.080000e-06,5.466667e-03
1.100000e-06,-1.324000e-01
1.120000e-06,-2.544000e-01
1.140000e-06,-3.810667e-01
1.160000e-06,-4.872000e-01
1.180000e-06,-6.229333e-01
1.200000e-06,-7.517334e-01
1.220000e-06,-8.737333e-01
1.240000e-06,-9.777334e-01
1.260000e-06,-1.090800e+00
1.280000e-06,-1.181200e+00
1.300000e-06,-1.260267e+00
1.320000e-06,-1.344000e+00
1.340000e-06,-1.441200e+00
1.360000e-06,-1.513467e+00
1.380000e-06,-1.572267e+00
1.400000e-06,-1.628800e+00
1.420000e-06,-1.685333e+00
1.440000e-06,-1.705600e+00
1.460000e-06,-1.723733e+00
1.480000e-06,-1.739467e+00
1.500000e-06,-1.753067e+00
1.520000e-06,-1.755333e+00
1.540000e-06,-1.748533e+00
1.560000e-06,-1.728267e+00
1.580000e-06,-1.712400e+00
1.600000e-06,-1.664933e+00
1.620000e-06,-1.615200e+00
1.640000e-06,-1.556400e+00
1.660000e-06,-1.522533e+00
1.680000e-06,-1.466000e+00
1.700000e-06,-1.391467e+00
1.720000e-06,-1.314533e+00
1.740000e-06,-1.251333e+00
1.760000e-06,-1.174400e+00
1.780000e-06,-1.079467e+00
1.800000e-06,-9.936000e-01
1.820000e-06,-9.234667e-01
1.840000e-06,-8.512000e-01
1.860000e-06,-7.540000e-01
1.880000e-06,-6.636000e-01
1.900000e-06,-6.093333e-01
1.920000e-06,-5.280000e-01
1.940000e-06,-4.442667e-01
1.960000e-06,-3.470667e-01
1.980000e-06,-2.905333e-01
2.000000e-06,-2.318667e-01
2.020000e-06,-1.594667e-01
2.040000e-06,-1.210667e-01
2.060000e-06,-7.813334e-02
2.080000e-06,-8.000000e-03
2.100000e-06,3.720000e-02
2.120000e-06,8.920000e-02
2.140000e-06,1.072000e-01
2.160000e-06,1.162667e-01
2.180000e-06,1.389333e-01
2.200000e-06,1.456000e-01
2.220000e-06,1.478667e-01
2.240000e-06,1.569333e-01
2.260000e-06,1.864000e-01
2.280000e-06,1.864000e-01
2.300000e-06,2.021333e-01
2.320000e-06,2.270667e-01
2.340000e-06,2.677333e-01
2.360000e-06,3.016000e-01
2.380000e-06,3.333333e-01
2.400000e-06,3.762667e-01
2.420000e-06,4.372000e-01
2.440000e-06,4.914667e-01
2.460000e-06,5.366667e-01
2.480000e-06,5.752000e-01
2.500000e-06,6.226667e-01
2.520000e-06,6.745334e-01
2.540000e-06,6.926666e-01
2.560000e-06,7.469333e-01
2.580000e-06,7.966667e-01
2.600000e-06,8.328000e-01
2.620000e-06,8.734667e-01
2.640000e-06,9.120000e-01
2.660000e-06,9.436000e-01
2.680000e-06,9.956000e-01
2.700000e-06,1.011467e+00
2.720000e-06,1.061067e+00
2.740000e-06,1.108533e+00
2.760000e-06,1.142533e+00
2.780000e-06,1.171867e+00
2.800000e-06,1.192267e+00
2.820000e-06,1.212533e+00
2.840000e-06,1.253200e+00
2.860000e-06,1.264533e+00
2.880000e-06,1.282667e+00
2.900000e-06,1.305200e+00
2.920000e-06,1.334667e+00
2.940000e-06,1.336933e+00
2.960000e-06,1.336933e+00
2.980000e-06,1.346000e+00
3.000000e-06,1.361733e+00
3.020000e-06,1.377600e+00
3.040000e-06,1.379867e+00
3.060000e-06,1.388933e+00
3.080000e-06,1.391200e+00
3.100000e-06,1.379867e+00
3.120000e-06,1.357200e+00
3.140000e-06,1.330133e+00
3.160000e-06,1.305200e+00
3.180000e-06,1.255467e+00
3.200000e-06,1.208000e+00
3.220000e-06,1.142533e+00
3.240000e-06,1.074667e+00
3.260000e-06,9.888000e-01
3.280000e-06,8.938667e-01
3.300000e-06,8.012000e-01
3.320000e-06,6.790667e-01
3.340000e-06,5.684000e-01
3.360000e-06,4.417333e-01
3.380000e-06,3.174667e-01
3.400000e-06,1.909333e-01
3.420000e-06,3.946667e-02
3.440000e-06,-1.165333e-01
3.460000e-06,-2.498667e-01
3.480000e-06,-3.990667e-01
3.500000e-06,-5.664000e-01
3.520000e-06,-6.974667e-01
3.540000e-06,-8.466667e-01
3.560000e-06,-9.936000e-01
3.580000e-06,-1.149600e+00
3.600000e-06,-1.301067e+00
3.620000e-06,-1.445733e+00
3.640000e-06,-1.565467e+00
3.660000e-06,-1.703333e+00
3.680000e-06,-1.830000e+00
3.700000e-06,-1.931600e+00
3.720000e-06,-2.017600e+00
3.740000e-06,-2.119333e+00
3.760000e-06,-2.200667e+00
3.780000e-06,-2.270667e+00
3.800000e-06,-2.331733e+00
3.820000e-06,-2.401867e+00
3.840000e-06,-2.426667e+00
3.860000e-06,-2.453867e+00
3.880000e-06,-2.453867e+00
3.900000e-06,-2.467333e+00
3.920000e-06,-2.469600e+00
3.940000e-06,-2.447067e+00
3.960000e-06,-2.428933e+00
3.980000e-06,-2.340800e+00
